"","L","cv_25_thick","cv_50_thick","cv_75_thick","cv_25_width","cv_50_width","cv_75_width","max_dimension","oriented_width","oriented_thickness","length","n"
"1","Leva",40.202,40.014,42.736,38.269,35.995,40.816,36.178,38.181,36.641,38.825,57
"2","Non_leva",48.826,44.822,46.082,42.118,40.644,43.08,38.264,36.948,47.336,38.541,1142
