"","L","cv_25_thick","cv_50_thick","cv_75_thick","cv_25_width","cv_50_width","cv_75_width","max_dimension","oriented_width","oriented_thickness","length","n"
"1","Leva",40.202,40.014,42.736,38.269,35.995,40.816,36.178,38.181,36.641,38.825,57
"2","Non_leva",48.918,44.968,46.218,42.112,40.741,43.135,38.338,37.091,47.55,38.672,1135
